"dateplustime";"realvalue"
1.358814742E9;115.0
1.358814003E9;0.601180076599121
1.358814003E9;0.476089954376221
1.358813799E9;1128.0
1.358813799E9;85.0
1.358813799E9;752.0
1.358813799E9;109.0
1.358813799E9;105.0
1.358813796E9;0.438610076904297
1.358813671E9;290.0
1.3588135E9;591.0
1.358813497E9;1.35881345402536E9
1.358808354E9;0.657509803771973
1.358808354E9;0.720099925994873
1.358808172E9;88.0
1.358808171E9;76.0
1.358808172E9;410.0
1.358808172E9;109.0
1.358808171E9;216.0
1.358807946E9;1.35880790250909E9
1.35880786E9;0.368959903717041
1.35880786E9;0.822000026702881
1.358807679E9;808.0
1.358807679E9;811.0
1.358807679E9;200.0
1.358807679E9;1110.0
1.358807679E9;102.0
1.358806283E9;0.421289920806885
1.358806283E9;0.296190023422241
1.358806143E9;74.0
1.358806143E9;285.0
1.358806143E9;106.0
1.35880614E9;0.748049974441528
1.35880614E9;0.247960090637207
1.358805969E9;86.0
1.358805969E9;785.0
1.358805969E9;100.0
1.358805969E9;455.0
1.358805969E9;104.0
1.358805861E9;0.368200063705444
1.358805861E9;0.821239948272705
1.358805769E9;87.0
1.358805769E9;1112.0
1.358805769E9;294.0
1.358805769E9;119.0
1.358805769E9;130.0
1.358805765E9;0.400969982147217
1.358805765E9;0.635250091552734
1.358805701E9;90.0
1.358805701E9;55.0
1.358805701E9;522.0
1.358805701E9;188.0
1.358805701E9;129.0
1.358805651E9;371.0
1.35880223E9;1207.0
1.358801123E9;1.35880107883907E9
1.358801037E9;0.491420030593872
1.358801037E9;0.491490125656128
1.358800865E9;82.0
1.358800865E9;64.0
1.358800865E9;599.0
1.358800865E9;128.0
1.358800865E9;109.0
1.35880076E9;0.328510046005249
1.35880076E9;0.828429937362671
1.358800555E9;1112.0
1.358800555E9;98.0
1.358800555E9;109.0
1.358800555E9;766.0
1.358800555E9;105.0
1.358800551E9;0.459469795227051
1.358800551E9;0.584369897842407
1.35880043E9;283.0
1.35880043E9;118.0
1.35880043E9;792.0
1.35880043E9;95.0
1.358800367E9;370.0
1.358798664E9;486.0
1.358798661E9;0.427419900894165
1.358798661E9;0.864820003509521
1.358798572E9;85.0
1.358798573E9;85.0
1.358798573E9;2327.0
1.358798573E9;161.0
1.358798572E9;133.0
1.358798569E9;0.413429975509644
1.358798569E9;0.710200071334839
1.358798506E9;76.0
1.358798506E9;71.0
1.358798506E9;262.0
1.358798506E9;195.0
1.358798506E9;196.0
1.358798454E9;349.0
1.358796717E9;86.0
1.358796717E9;275.0
1.358796655E9;751.0
1.358796655E9;92.0
1.358794935E9;732.0
1.358794935E9;110.0
1.358794868E9;97.0
1.358794868E9;642.0
1.358793449E9;0.257369995117188
1.358793449E9;0.663709878921509
1.358793363E9;1119.0
1.358793363E9;310.0
1.358793363E9;156.0
1.358793363E9;81.0
1.358793363E9;101.0
1.35879336E9;0.318320035934448
1.35879336E9;0.771549940109253
1.358793299E9;84.0
1.358793299E9;74.0
1.358793299E9;100.0
1.358793299E9;390.0
1.358793299E9;90.0
1.358793252E9;350.0
1.358793249E9;0.794189929962158
1.358793249E9;0.388020038604736
1.358793165E9;91.0
1.358793165E9;104.0
1.358793165E9;289.0
1.358793165E9;122.0
1.358793165E9;105.0
1.358793162E9;0.49888014793396
1.358793162E9;0.889410018920898
1.358793103E9;70.0
1.358793103E9;74.0
1.358793103E9;97.0
1.358793103E9;8.6398302E7
1.358793103E9;108.0
1.358793054E9;365.0
1.358791653E9;0.578940153121948
1.358791653E9;0.750890016555786
1.358791563E9;86.0
1.358791563E9;76.0
1.358791563E9;354.0
1.358791563E9;135.0
1.358791563E9;8.6398126E7
1.35879156E9;0.374480009078979
1.35879156E9;0.687069892883301
1.358791495E9;483.0
1.358791495E9;86.0
1.358791495E9;122.0
1.358791495E9;101.0
1.358791495E9;293.0
1.358791442E9;355.0
1.358791439E9;0.409869909286499
1.358791439E9;0.612900018692017
1.358791353E9;1129.0
1.358791353E9;99.0
1.358791353E9;273.0
1.358791353E9;98.0
1.358791353E9;126.0
1.35879135E9;0.442450046539307
1.35879135E9;0.661119937896729
1.35879129E9;77.0
1.35879129E9;122.0
1.35879129E9;86.0
1.35879129E9;304.0
1.35879129E9;111.0
1.35879124E9;358.0
1.358789522E9;120.0
1.358789522E9;278.0
1.358789467E9;259.0
1.358789467E9;96.0
1.358787722E9;109.0
1.358787722E9;512.0
1.358787668E9;117.0
1.358787668E9;289.0
1.358786245E9;0.579740047454834
1.358786245E9;0.407770156860352
1.35878616E9;1127.0
1.35878616E9;88.0
1.35878616E9;104.0
1.35878616E9;321.0
1.35878616E9;108.0
1.358786156E9;0.406349897384644
1.358786156E9;0.843950033187866
1.358786097E9;68.0
1.358786097E9;1124.0
1.358786097E9;286.0
1.358786097E9;2099.0
1.358786097E9;100.0
1.358786049E9;351.0
1.358786046E9;0.424829959869385
1.358786046E9;0.534110069274902
1.358785962E9;97.0
1.358785962E9;74.0
1.358785962E9;286.0
1.358785962E9;102.0
1.358785962E9;97.0
1.358785958E9;0.691760063171387
1.358785958E9;0.301210165023804
1.358785898E9;89.0
1.358785898E9;275.0
1.358785898E9;97.0
1.358785898E9;63.0
1.358785898E9;107.0
1.358785851E9;360.0
1.358784474E9;0.307029962539673
1.358784474E9;0.697749853134155
1.358784384E9;99.0
1.358784384E9;91.0
1.358784384E9;154.0
1.358784384E9;130.0
1.358784384E9;299.0
1.358784381E9;0.571120023727417
1.358784381E9;0.821199893951416
1.358784315E9;77.0
1.358784315E9;92.0
1.358784315E9;120.0
1.358784315E9;335.0
1.358784315E9;251.0
1.358784261E9;350.0
1.358784258E9;0.588579893112183
1.358784258E9;1.01037001609802
1.35878417E9;91.0
1.35878417E9;114.0
1.35878417E9;80.0
1.35878417E9;589.0
1.35878417E9;189.0
1.358784166E9;0.418229818344116
1.358784166E9;0.746269941329956
1.358784104E9;88.0
1.358784104E9;64.0
1.358784104E9;306.0
1.358784104E9;119.0
1.358784104E9;109.0
1.358784056E9;356.0
1.358782323E9;86.0
1.358782323E9;618.0
1.358782259E9;310.0
1.358782259E9;226.0
1.358779188E9;0.483659982681274
1.358779188E9;0.671240091323853
1.358779102E9;78.0
1.358779102E9;329.0
